Reaction,Dataset,Reference,Reference_in_kcal_mol,TAE_in_kcal_mol,Number_of_atoms,Stoichiometry,Subset
TAE-PTComp_1218_tm_ti_9,TAE-PTComp,0.143794335260083,90.2323076923077,1173.02,13,"-0.0769230769230769,tm_ti_9,0.384615384615385,H,0.0769230769230769,B,0.153846153846154,C,0.0769230769230769,N,0.0769230769230769,S,0.0769230769230769,Cl,0.153846153846154,Ti",tm_ti
TAE-PTComp_1219_tm_ti_10,TAE-PTComp,0.135578630309962,85.076875,1361.23,16,"-0.0625,tm_ti_10,0.4375,H,0.0625,B,0.125,C,0.0625,N,0.125,S,0.0625,Cl,0.125,Ti",tm_ti
TAE-PTComp_1220_tm_ti_11,TAE-PTComp,0.166752999407304,104.639086956522,2406.699,23,"-0.0434782608695652,tm_ti_11,0.521739130434783,H,0.347826086956522,C,0.0869565217391304,N,0.0434782608695652,Ti",tm_ti
TAE-PTComp_1221_tm_ti_12,TAE-PTComp,0.148057525567586,92.9075,2043.965,22,"-0.0454545454545455,tm_ti_12,0.636363636363636,H,0.0454545454545455,B,0.227272727272727,C,0.0454545454545455,F,0.0454545454545455,Ti",tm_ti
TAE-PTComp_1222_tm_ti_13,TAE-PTComp,0.134923593719032,84.6658333333333,1015.99,12,"-0.0833333333333333,tm_ti_13,0.666666666666667,H,0.25,C,0.0833333333333333,Ti",tm_ti
TAE-PTComp_1223_tm_ti_14,TAE-PTComp,0.199055958774958,124.9095,999.276,8,"-0.125,tm_ti_14,0.25,O,0.5,F,0.25,Ti",tm_ti
TAE-PTComp_1224_tm_ti_15,TAE-PTComp,0.130407692445089,81.8320625,1309.313,16,"-0.0625,tm_ti_15,0.5,H,0.125,C,0.25,Cl,0.125,Ti",tm_ti
TAE-PTComp_1225_tm_ti_16,TAE-PTComp,0.146012934923093,91.6245,1282.743,14,"-0.0714285714285714,tm_ti_16,0.214285714285714,H,0.214285714285714,C,0.428571428571429,S,0.0714285714285714,Cl,0.0714285714285714,Ti",tm_ti
TAE-PTComp_1226_tm_ti_17,TAE-PTComp,0.124633064207034,78.2084285714286,1094.918,14,"-0.0714285714285714,tm_ti_17,0.142857142857143,H,0.142857142857143,S,0.571428571428571,Cl,0.142857142857143,Ti",tm_ti
TAE-PTComp_1227_tm_ti_18,TAE-PTComp,0.134549550463948,84.4311176470588,1435.329,17,"-0.0588235294117647,tm_ti_18,0.470588235294118,H,0.235294117647059,N,0.235294117647059,O,0.0588235294117647,Ti",tm_ti
TAE-PTComp_1228_tm_ti_19,TAE-PTComp,0.147290029408536,92.4258888888889,831.833,9,"-0.111111111111111,tm_ti_19,0.444444444444444,B,0.444444444444444,F,0.111111111111111,Ti",tm_ti
TAE-PTComp_1229_tm_ti_20,TAE-PTComp,0.11828219822628,74.2232,371.116,5,"-0.2,tm_ti_20,0.2,Ti,0.8,Br",tm_ti
TAE-PTComp_1230_tm_ti_21,TAE-PTComp,0.194176439706316,121.847555555556,1096.628,9,"-0.111111111111111,tm_ti_21,0.444444444444444,C,0.444444444444444,N,0.111111111111111,Ti",tm_ti
TAE-PTComp_1231_tm_ti_22,TAE-PTComp,0.16852508420596,105.751086956522,2432.275,23,"-0.0434782608695652,tm_ti_22,0.434782608695652,H,0.260869565217391,C,0.0869565217391304,N,0.173913043478261,O,0.0434782608695652,Ti",tm_ti
TAE-PTComp_1232_tm_ti_23,TAE-PTComp,0.157381994041036,98.7586923076923,1283.863,13,"-0.0769230769230769,tm_ti_23,0.923076923076923,N,0.0769230769230769,Ti",tm_ti
TAE-PTComp_1233_tm_ti_24,TAE-PTComp,0.158024528692482,99.1618888888889,892.457,9,"-0.111111111111111,tm_ti_24,0.444444444444444,H,0.444444444444444,O,0.111111111111111,Ti",tm_ti
TAE-PTComp_1234_tm_ti_25,TAE-PTComp,0.153602082340943,96.3867619047619,2024.122,21,"-0.0476190476190476,tm_ti_25,0.571428571428571,H,0.19047619047619,C,0.19047619047619,O,0.0476190476190476,Ti",tm_ti
TAE-PTComp_1235_tm_ti_26,TAE-PTComp,0.119121884530455,74.7501111111111,672.751,9,"-0.111111111111111,tm_ti_26,0.444444444444444,H,0.444444444444444,S,0.111111111111111,Ti",tm_ti
TAE-PTComp_1236_tm_ti_27,TAE-PTComp,0.187813047512356,117.854466666667,1767.817,15,"-0.0666666666666667,tm_ti_27,0.466666666666667,H,0.0666666666666667,C_cation,0.4,C,0.0666666666666667,Ti",tm_ti
TAE-PTComp_1237_tm_ti_28,TAE-PTComp,0.155264815726664,97.4301428571429,1364.022,14,"-0.0714285714285714,tm_ti_28,0.285714285714286,H,0.214285714285714,C,0.0714285714285714,O,0.0714285714285714,F,0.0714285714285714,P,0.0714285714285714,S_cation,0.0714285714285714,S,0.0714285714285714,Cl,0.0714285714285714,Ti",tm_ti
TAE-PTComp_1238_tm_ti_29,TAE-PTComp,0.174541306635951,109.526323529412,3723.895,34,"-0.0294117647058824,tm_ti_29,0.558823529411765,H,0.0294117647058824,C_cation,0.382352941176471,C,0.0294117647058824,Ti",tm_ti
TAE-PTComp_1239_tm_ti_30,TAE-PTComp,0.247046070868424,155.02375,620.095,4,"-0.25,tm_ti_30,0.25,F_cation,0.5,F,0.25,Ti",tm_ti
TAE-PTComp_1240_tm_ti_31,TAE-PTComp,0.176218056572132,110.5785,663.471,6,"-0.166666666666667,tm_ti_31,0.166666666666667,H,0.166666666666667,C_cation,0.166666666666667,O,0.166666666666667,F,0.166666666666667,Cl,0.166666666666667,Ti",tm_ti
TAE-PTComp_1241_tm_v_1,TAE-PTComp,0.1361738165429,85.45036,2136.259,25,"-0.04,tm_v_1,0.72,H,0.04,C_anion,0.2,C,0.04,V",tm_v
TAE-PTComp_1242_tm_v_2,TAE-PTComp,0.180488261024424,113.25809375,3624.259,32,"-0.03125,tm_v_2,0.46875,H,0.5,C,0.03125,V",tm_v
TAE-PTComp_1243_tm_v_3,TAE-PTComp,0.183147741360772,114.926942857143,4022.443,35,"-0.0285714285714286,tm_v_3,0.4,H,0.428571428571429,C,0.0285714285714286,N,0.0857142857142857,O,0.0285714285714286,S,0.0285714285714286,V",tm_v
TAE-PTComp_1244_tm_v_4,TAE-PTComp,0.175432233996549,110.085388888889,3963.074,36,"-0.0277777777777778,tm_v_4,0.277777777777778,H,0.388888888888889,C,0.166666666666667,F,0.111111111111111,S,0.0555555555555556,V",tm_v
TAE-PTComp_1245_tm_v_5,TAE-PTComp,0.169932557007038,106.634289473684,4052.103,38,"-0.0263157894736842,tm_v_5,0.473684210526316,H,0.315789473684211,C,0.157894736842105,N,0.0526315789473684,V",tm_v
TAE-PTComp_1246_tm_v_6,TAE-PTComp,0.15340018821595,96.2600714285714,1347.641,14,"-0.0714285714285714,tm_v_6,0.428571428571429,H,0.142857142857143,C,0.0714285714285714,N,0.285714285714286,O,0.0714285714285714,V",tm_v
TAE-PTComp_1247_tm_v_7,TAE-PTComp,0.131523838215637,82.5324545454545,907.857,11,"-0.0909090909090909,tm_v_7,0.545454545454545,H,0.0909090909090909,B,0.0909090909090909,C,0.0909090909090909,N,0.0909090909090909,Cl,0.0909090909090909,V",tm_v
TAE-PTComp_1248_tm_v_8,TAE-PTComp,0.169731401520306,106.5080625,3408.258,32,"-0.03125,tm_v_8,0.5,H,0.375,C,0.09375,N,0.03125,V",tm_v
TAE-PTComp_1249_tm_v_9,TAE-PTComp,0.139712100438902,87.6706666666667,1841.084,21,"-0.0476190476190476,tm_v_9,0.619047619047619,H,0.142857142857143,C,0.19047619047619,N,0.0476190476190476,V",tm_v
TAE-PTComp_1250_tm_v_10,TAE-PTComp,0.149499137268112,93.812125,750.497,8,"-0.125,tm_v_10,0.125,H,0.125,C,0.125,N,0.125,O,0.375,Cl,0.125,V",tm_v
TAE-PTComp_1251_tm_v_11,TAE-PTComp,0.132755465763092,83.3053125,1332.885,16,"-0.0625,tm_v_11,0.375,H,0.125,C,0.125,S,0.25,Cl,0.125,V",tm_v
TAE-PTComp_1252_tm_v_12,TAE-PTComp,0.167647116409234,105.200153846154,1367.602,13,"-0.0769230769230769,tm_v_12,0.307692307692308,H,0.538461538461538,O,0.153846153846154,V",tm_v
TAE-PTComp_1253_tm_v_13,TAE-PTComp,0.126392071355797,79.3122222222222,713.81,9,"-0.111111111111111,tm_v_13,0.333333333333333,H,0.111111111111111,N,0.111111111111111,Si,0.333333333333333,Cl,0.111111111111111,V",tm_v
TAE-PTComp_1254_tm_v_14,TAE-PTComp,0.155586154073696,97.6317857142857,2733.69,28,"-0.0357142857142857,tm_v_14,0.428571428571429,H,0.214285714285714,C,0.214285714285714,O,0.107142857142857,P,0.0357142857142857,V",tm_v
TAE-PTComp_1255_tm_v_15,TAE-PTComp,0.172836618198548,108.456615384615,1409.936,13,"-0.0769230769230769,tm_v_15,0.384615384615385,B,0.0769230769230769,N,0.0769230769230769,O,0.384615384615385,F,0.0769230769230769,V",tm_v
TAE-PTComp_1256_tm_v_16,TAE-PTComp,0.202881889364918,127.310307692308,1655.034,13,"-0.0769230769230769,tm_v_16,0.384615384615385,C,0.461538461538462,O,0.0769230769230769,P,0.0769230769230769,V",tm_v
TAE-PTComp_1257_tm_v_17,TAE-PTComp,0.151848703387733,95.2865,571.719,6,"-0.166666666666667,tm_v_17,0.833333333333333,F,0.166666666666667,V",tm_v
TAE-PTComp_1258_tm_v_18,TAE-PTComp,0.0710852481283513,44.6066666666667,267.64,6,"-0.166666666666667,tm_v_18,0.833333333333333,H,0.166666666666667,V",tm_v
TAE-PTComp_1259_tm_v_19,TAE-PTComp,0.191252326887985,120.012647058824,4080.43,34,"-0.0294117647058824,tm_v_19,0.264705882352941,H,0.441176470588235,C,0.264705882352941,O,0.0294117647058824,V",tm_v
TAE-PTComp_1260_tm_v_20,TAE-PTComp,0.180092523502711,113.009764705882,1921.166,17,"-0.0588235294117647,tm_v_20,0.470588235294118,H,0.0588235294117647,C_cation,0.411764705882353,C,0.0588235294117647,V",tm_v
TAE-PTComp_1261_tm_v_21,TAE-PTComp,0.178478580211425,111.997,3359.91,30,"-0.0333333333333333,tm_v_21,0.466666666666667,H,0.0333333333333333,C_cation,0.3,C,0.166666666666667,O,0.0333333333333333,V",tm_v
TAE-PTComp_1262_tm_v_22,TAE-PTComp,0.188358909124796,118.197,1063.773,9,"-0.111111111111111,tm_v_22,0.111111111111111,C_cation,0.333333333333333,C,0.444444444444444,N,0.111111111111111,V",tm_v
TAE-PTComp_1263_tm_v_23,TAE-PTComp,0.180167104865133,113.056565217391,2600.301,23,"-0.0434782608695652,tm_v_23,0.434782608695652,H,0.0434782608695652,C_cation,0.391304347826087,C,0.0434782608695652,V,0.0869565217391304,Br",tm_v
TAE-PTComp_1264_tm_v_24,TAE-PTComp,0.192789785122036,120.977416666667,2903.458,24,"-0.0416666666666667,tm_v_24,0.25,H,0.416666666666667,C,0.208333333333333,O,0.0416666666666667,S_cation,0.0416666666666667,S,0.0416666666666667,V",tm_v
TAE-PTComp_1265_tm_v_25,TAE-PTComp,0.150163039164337,94.2287297297297,3486.463,37,"-0.027027027027027,tm_v_25,0.648648648648649,H,0.027027027027027,C_cation,0.189189189189189,C,0.108108108108108,N,0.027027027027027,V",tm_v
TAE-PTComp_1266_tm_v_26,TAE-PTComp,0.159075632787385,99.8214666666667,1497.322,15,"-0.0666666666666667,tm_v_26,0.466666666666667,H,0.4,O,0.0666666666666667,V",tm_v
TAE-PTComp_1267_tm_v_27,TAE-PTComp,0.203912291408648,127.956894736842,4862.362,38,"-0.0263157894736842,tm_v_27,0.315789473684211,H,0.0263157894736842,C_cation,0.5,C,0.105263157894737,N,0.0263157894736842,O,0.0263157894736842,V",tm_v
TAE-PTComp_1268_tm_cr_1,TAE-PTComp,0.17743407839958,111.341565217391,2560.856,23,"-0.0434782608695652,tm_cr_1,0.478260869565217,H,0.0434782608695652,C_anion,0.434782608695652,C,0.0434782608695652,Cr",tm_cr
TAE-PTComp_1269_tm_cr_2,TAE-PTComp,0.185893607700766,116.65,2099.7,18,"-0.0555555555555556,tm_cr_2,0.277777777777778,H,0.388888888888889,C,0.0555555555555556,O_anion,0.222222222222222,O,0.0555555555555556,Cr",tm_cr
TAE-PTComp_1270_tm_cr_3,TAE-PTComp,0.203038141110273,127.408357142857,1783.717,14,"-0.0714285714285714,tm_cr_3,0.0714285714285714,H,0.428571428571429,C,0.0714285714285714,O_anion,0.357142857142857,O,0.0714285714285714,Cr",tm_cr
TAE-PTComp_1271_tm_cr_4,TAE-PTComp,0.157928406701006,99.1015714285714,2774.844,28,"-0.0357142857142857,tm_cr_4,0.321428571428571,H,0.107142857142857,C,0.392857142857143,O,0.107142857142857,P,0.0357142857142857,S,0.0357142857142857,Cr",tm_cr
TAE-PTComp_1272_tm_cr_5,TAE-PTComp,0.198068867557198,124.290090909091,2734.382,22,"-0.0454545454545455,tm_cr_5,0.363636363636364,C,0.0909090909090909,N,0.454545454545455,O,0.0909090909090909,Cr",tm_cr
TAE-PTComp_1273_tm_cr_6,TAE-PTComp,0.151677529807225,95.1790869565217,2189.119,23,"-0.0434782608695652,tm_cr_6,0.521739130434783,H,0.217391304347826,C,0.173913043478261,N,0.0434782608695652,O,0.0434782608695652,Cr",tm_cr
TAE-PTComp_1274_tm_cr_7,TAE-PTComp,0.157120496303592,98.5946,2464.865,25,"-0.04,tm_cr_7,0.48,H,0.24,B,0.24,N,0.04,Cr",tm_cr
TAE-PTComp_1275_tm_cr_8,TAE-PTComp,0.174213367255943,109.320538461538,1421.167,13,"-0.0769230769230769,tm_cr_8,0.461538461538462,B,0.461538461538462,F,0.0769230769230769,Cr",tm_cr
TAE-PTComp_1276_tm_cr_9,TAE-PTComp,0.164788647461284,103.4064375,1654.503,16,"-0.0625,tm_cr_9,0.375,H,0.375,C,0.1875,O,0.0625,Cr",tm_cr
TAE-PTComp_1277_tm_cr_10,TAE-PTComp,0.191822663141871,120.370538461538,1564.817,13,"-0.0769230769230769,tm_cr_10,0.153846153846154,H,0.384615384615385,C,0.384615384615385,O,0.0769230769230769,Cr",tm_cr
TAE-PTComp_1278_tm_cr_11,TAE-PTComp,0.161090304586425,101.085692307692,1314.114,13,"-0.0769230769230769,tm_cr_11,0.461538461538462,C,0.461538461538462,S,0.0769230769230769,Cr",tm_cr
TAE-PTComp_1279_tm_cr_12,TAE-PTComp,0.19654862611301,123.336125,3946.756,32,"-0.03125,tm_cr_12,0.25,H,0.5,C,0.1875,O,0.0625,Cr",tm_cr
TAE-PTComp_1280_tm_cr_13,TAE-PTComp,0.138513381952093,86.9184594594595,3215.983,37,"-0.027027027027027,tm_cr_13,0.648648648648649,H,0.216216216216216,C,0.108108108108108,Si,0.027027027027027,Cr",tm_cr
TAE-PTComp_1281_tm_cr_14,TAE-PTComp,0.189706232740261,119.042458333333,2857.019,24,"-0.0416666666666667,tm_cr_14,0.125,H,0.375,C,0.0416666666666667,N,0.333333333333333,O,0.0416666666666667,S,0.0833333333333333,Cr",tm_cr
TAE-PTComp_1282_tm_cr_15,TAE-PTComp,0.141109243376731,88.5473870967742,2744.969,31,"-0.032258064516129,tm_cr_15,0.612903225806452,H,0.258064516129032,C,0.032258064516129,O,0.032258064516129,P,0.032258064516129,S,0.032258064516129,Cr",tm_cr
TAE-PTComp_1283_tm_cr_16,TAE-PTComp,0.185937431740301,116.6775,4200.39,36,"-0.0277777777777778,tm_cr_16,0.416666666666667,H,0.0277777777777778,C_cation,0.416666666666667,C,0.0555555555555556,N,0.0555555555555556,O,0.0277777777777778,Cr",tm_cr
TAE-PTComp_1284_tm_cr_17,TAE-PTComp,0.190208044552962,119.35735,4774.294,40,"-0.025,tm_cr_17,0.3,H,0.45,C,0.025,N,0.15,O,0.025,Si_cation,0.05,Cr",tm_cr
TAE-PTComp_1285_tm_mn_1,TAE-PTComp,0.153641694719535,96.411619047619,2024.644,21,"-0.0476190476190476,tm_mn_1,0.476190476190476,H,0.19047619047619,B,0.0476190476190476,C_anion,0.0476190476190476,C,0.19047619047619,N,0.0476190476190476,Mn",tm_mn
TAE-PTComp_1286_tm_mn_2,TAE-PTComp,0.174582983554221,109.552476190476,2300.602,21,"-0.0476190476190476,tm_mn_2,0.476190476190476,H,0.0476190476190476,C_anion,0.428571428571429,C,0.0476190476190476,Mn",tm_mn
TAE-PTComp_1287_tm_mn_3,TAE-PTComp,0.184463483210604,115.752583333333,2778.062,24,"-0.0416666666666667,tm_mn_3,0.125,H,0.375,C,0.125,N,0.25,O,0.0416666666666667,S,0.0833333333333333,Mn",tm_mn
TAE-PTComp_1288_tm_mn_4,TAE-PTComp,0.187320611388113,117.545458333333,2821.091,24,"-0.0416666666666667,tm_mn_4,0.125,H,0.375,C,0.125,N,0.291666666666667,O,0.0833333333333333,Mn",tm_mn
TAE-PTComp_1289_tm_mn_5,TAE-PTComp,0.175673670938166,110.236892857143,3086.633,28,"-0.0357142857142857,tm_mn_5,0.285714285714286,H,0.357142857142857,C,0.214285714285714,O,0.0714285714285714,P,0.0714285714285714,Mn",tm_mn
TAE-PTComp_1290_tm_mn_6,TAE-PTComp,0.182537128939442,114.543777777778,2061.788,18,"-0.0555555555555556,tm_mn_6,0.277777777777778,H,0.388888888888889,C,0.277777777777778,O,0.0555555555555556,Mn",tm_mn
TAE-PTComp_1291_tm_mn_7,TAE-PTComp,0.181517771316816,113.904121212121,3758.836,33,"-0.0303030303030303,tm_mn_7,0.363636363636364,H,0.454545454545455,C,0.121212121212121,O,0.0606060606060606,Mn",tm_mn
TAE-PTComp_1292_tm_mn_8,TAE-PTComp,0.183608165929903,115.215863636364,2534.749,22,"-0.0454545454545455,tm_mn_8,0.318181818181818,H,0.454545454545455,C,0.181818181818182,O,0.0454545454545455,Mn",tm_mn
TAE-PTComp_1293_tm_mn_9,TAE-PTComp,0.1809268552622,113.533315789474,2157.133,19,"-0.0526315789473684,tm_mn_9,0.368421052631579,H,0.473684210526316,C,0.105263157894737,O,0.0526315789473684,Mn",tm_mn
TAE-PTComp_1294_tm_mn_10,TAE-PTComp,0.192438449125084,120.75695,2415.139,20,"-0.05,tm_mn_10,0.4,C,0.4,O,0.1,Mn,0.1,I",tm_mn
TAE-PTComp_1295_tm_mn_11,TAE-PTComp,0.169721305693016,106.501727272727,2343.038,22,"-0.0454545454545455,tm_mn_11,0.454545454545455,B,0.454545454545455,F,0.0909090909090909,Mn",tm_mn
TAE-PTComp_1296_tm_mn_12,TAE-PTComp,0.159573951956935,100.134166666667,1802.415,18,"-0.0555555555555556,tm_mn_12,0.333333333333333,H,0.277777777777778,C,0.277777777777778,O,0.0555555555555556,P,0.0555555555555556,Mn",tm_mn
TAE-PTComp_1297_tm_mn_13,TAE-PTComp,0.133578859705903,83.822,1676.44,20,"-0.05,tm_mn_13,0.5,H,0.15,C,0.15,O,0.15,P,0.05,Mn",tm_mn
TAE-PTComp_1298_tm_mn_14,TAE-PTComp,0.19691336164205,123.565,1482.78,12,"-0.0833333333333333,tm_mn_14,0.416666666666667,C,0.416666666666667,O,0.0833333333333333,Mn,0.0833333333333333,Br",tm_mn
TAE-PTComp_1299_tm_mn_15,TAE-PTComp,0.197824636064141,124.136833333333,1489.642,12,"-0.0833333333333333,tm_mn_15,0.416666666666667,C,0.416666666666667,O,0.0833333333333333,Cl,0.0833333333333333,Mn",tm_mn
TAE-PTComp_1300_tm_mn_16,TAE-PTComp,0.169740226088267,106.5136,2130.272,20,"-0.05,tm_mn_16,0.3,H,0.35,C,0.1,O,0.05,Si,0.15,Cl,0.05,Mn",tm_mn
TAE-PTComp_1301_tm_mn_17,TAE-PTComp,0.178580349369901,112.060861111111,4034.191,36,"-0.0277777777777778,tm_mn_17,0.416666666666667,H,0.444444444444444,C,0.0555555555555556,N,0.0555555555555556,O,0.0277777777777778,Mn",tm_mn
TAE-PTComp_1302_tm_mn_18,TAE-PTComp,0.144883194088532,90.9155769230769,2363.805,26,"-0.0384615384615385,tm_mn_18,0.538461538461538,H,0.230769230769231,C,0.0384615384615385,N,0.0769230769230769,O,0.0769230769230769,P,0.0384615384615385,Mn",tm_mn
TAE-PTComp_1303_tm_mn_19,TAE-PTComp,0.20258803148863,127.125909090909,1398.385,11,"-0.0909090909090909,tm_mn_19,0.0909090909090909,C_cation,0.181818181818182,C,0.363636363636364,N,0.272727272727273,O,0.0909090909090909,Mn",tm_mn
TAE-PTComp_1304_tm_mn_20,TAE-PTComp,0.169366367190996,106.279,1381.627,13,"-0.0769230769230769,tm_mn_20,0.461538461538462,C,0.0769230769230769,S_cation,0.384615384615385,S,0.0769230769230769,Mn",tm_mn
TAE-PTComp_1305_tm_mn_21,TAE-PTComp,0.128491000267977,80.62932,2015.733,25,"-0.04,tm_mn_21,0.68,H,0.24,N,0.04,Mn",tm_mn
TAE-PTComp_1306_tm_mn_22,TAE-PTComp,0.146664486581847,92.0333548387097,2853.034,31,"-0.032258064516129,tm_mn_22,0.612903225806452,H,0.258064516129032,C,0.032258064516129,O,0.032258064516129,P,0.032258064516129,S_cation,0.032258064516129,Mn",tm_mn
TAE-PTComp_1307_tm_fe_1,TAE-PTComp,0.175707881007886,110.25836,2756.459,25,"-0.04,tm_fe_1,0.36,H,0.36,C,0.04,O_anion,0.2,O,0.04,Fe",tm_fe
TAE-PTComp_1308_tm_fe_2,TAE-PTComp,0.114901237933127,72.1016153846154,937.321,13,"-0.0769230769230769,tm_fe_2,0.384615384615385,H,0.0769230769230769,B,0.0769230769230769,C,0.0769230769230769,F_anion,0.153846153846154,F,0.153846153846154,S,0.0769230769230769,Fe",tm_fe
TAE-PTComp_1309_tm_fe_3,TAE-PTComp,0.159304199966214,99.9648947368421,1899.333,19,"-0.0526315789473684,tm_fe_3,0.473684210526316,H,0.368421052631579,C,0.0526315789473684,Si_anion,0.0526315789473684,Si,0.0526315789473684,Fe",tm_fe
TAE-PTComp_1310_tm_fe_4,TAE-PTComp,0.16577194602835,104.023466666667,3120.704,30,"-0.0333333333333333,tm_fe_4,0.4,H,0.4,C,0.133333333333333,Cl,0.0666666666666667,Fe",tm_fe
TAE-PTComp_1311_tm_fe_5,TAE-PTComp,0.195444379836833,122.6432,3679.296,30,"-0.0333333333333333,tm_fe_5,0.266666666666667,H,0.5,C,0.166666666666667,O,0.0666666666666667,Fe",tm_fe
TAE-PTComp_1312_tm_fe_6,TAE-PTComp,0.174921806675469,109.765090909091,1207.416,11,"-0.0909090909090909,tm_fe_6,0.454545454545455,B,0.454545454545455,F,0.0909090909090909,Fe",tm_fe
TAE-PTComp_1313_tm_fe_7,TAE-PTComp,0.172603721640933,108.310470588235,1841.278,17,"-0.0588235294117647,tm_fe_7,0.352941176470588,H,0.352941176470588,C,0.176470588235294,O,0.0588235294117647,Si,0.0588235294117647,Fe",tm_fe
TAE-PTComp_1314_tm_fe_8,TAE-PTComp,0.202319871828533,126.957636363636,1396.534,11,"-0.0909090909090909,tm_fe_8,0.363636363636364,C,0.181818181818182,N,0.363636363636364,O,0.0909090909090909,Fe",tm_fe
TAE-PTComp_1315_tm_fe_9,TAE-PTComp,0.190605137221781,119.606529411765,2033.311,17,"-0.0588235294117647,tm_fe_9,0.294117647058824,H,0.470588235294118,C,0.0588235294117647,N,0.117647058823529,O,0.0588235294117647,Fe",tm_fe
TAE-PTComp_1316_tm_fe_10,TAE-PTComp,0.159893420754229,100.334636363636,1103.681,11,"-0.0909090909090909,tm_fe_10,0.454545454545455,C,0.454545454545455,S,0.0909090909090909,Fe",tm_fe
TAE-PTComp_1317_tm_fe_11,TAE-PTComp,0.146355801736753,91.839652173913,2112.312,23,"-0.0434782608695652,tm_fe_11,0.478260869565217,H,0.0434782608695652,B,0.217391304347826,C,0.0434782608695652,N,0.0869565217391304,O,0.0434782608695652,F,0.0434782608695652,S,0.0434782608695652,Fe",tm_fe
TAE-PTComp_1318_tm_fe_12,TAE-PTComp,0.173487210824335,108.864868421053,4136.865,38,"-0.0263157894736842,tm_fe_12,0.447368421052632,H,0.421052631578947,C,0.0263157894736842,N,0.0263157894736842,O,0.0526315789473684,P,0.0263157894736842,Fe",tm_fe
TAE-PTComp_1319_tm_fe_13,TAE-PTComp,0.151708132318984,95.1982903225806,2951.147,31,"-0.032258064516129,tm_fe_13,0.516129032258065,H,0.258064516129032,C,0.0645161290322581,N,0.0645161290322581,O,0.0645161290322581,P,0.032258064516129,Fe",tm_fe
TAE-PTComp_1320_tm_fe_14,TAE-PTComp,0.16321645580466,102.419872340426,4813.734,47,"-0.0212765957446809,tm_fe_14,0.574468085106383,H,0.382978723404255,C,0.0212765957446809,Cl,0.0212765957446809,Fe",tm_fe
TAE-PTComp_1321_tm_fe_15,TAE-PTComp,0.109639293900534,68.7996956521739,1582.393,23,"-0.0434782608695652,tm_fe_15,0.695652173913043,H,0.0434782608695652,C,0.0434782608695652,O,0.173913043478261,P,0.0434782608695652,Fe",tm_fe
TAE-PTComp_1322_tm_fe_16,TAE-PTComp,0.16282569569044,102.174666666667,3065.24,30,"-0.0333333333333333,tm_fe_16,0.5,H,0.333333333333333,C,0.0666666666666667,N,0.0333333333333333,O,0.0333333333333333,P,0.0333333333333333,Fe",tm_fe
TAE-PTComp_1323_tm_fe_17,TAE-PTComp,0.183109585989208,114.903,3676.896,32,"-0.03125,tm_fe_17,0.34375,H,0.4375,C,0.125,O,0.03125,P,0.0625,Fe",tm_fe
TAE-PTComp_1324_tm_fe_18,TAE-PTComp,0.146516034896957,91.9402,2298.505,25,"-0.04,tm_fe_18,0.4,H,0.16,C,0.16,N,0.24,O,0.04,Fe",tm_fe
TAE-PTComp_1325_tm_fe_19,TAE-PTComp,0.188141488768654,118.060566666667,3541.817,30,"-0.0333333333333333,tm_fe_19,0.333333333333333,H,0.466666666666667,C,0.133333333333333,O,0.0666666666666667,Fe",tm_fe
TAE-PTComp_1326_tm_fe_20,TAE-PTComp,0.163159687991746,102.38425,2866.759,28,"-0.0357142857142857,tm_fe_20,0.571428571428571,H,0.392857142857143,C,0.0357142857142857,Fe",tm_fe
TAE-PTComp_1327_tm_fe_21,TAE-PTComp,0.182109982165693,114.275739130435,2628.342,23,"-0.0434782608695652,tm_fe_21,0.260869565217391,H,0.391304347826087,C,0.260869565217391,O,0.0869565217391304,Fe",tm_fe
TAE-PTComp_1328_tm_fe_22,TAE-PTComp,0.18066173450092,113.36695,2267.339,20,"-0.05,tm_fe_22,0.4,H,0.5,C,0.05,S,0.05,Fe",tm_fe
TAE-PTComp_1329_tm_fe_23,TAE-PTComp,0.188175367811391,118.081826086957,2715.882,23,"-0.0434782608695652,tm_fe_23,0.478260869565217,H,0.0434782608695652,C_cation,0.434782608695652,C,0.0434782608695652,Fe",tm_fe
TAE-PTComp_1330_tm_fe_24,TAE-PTComp,0.182181965079643,114.320909090909,2515.06,22,"-0.0454545454545455,tm_fe_24,0.5,H,0.0454545454545455,C_cation,0.409090909090909,C,0.0454545454545455,Fe",tm_fe
TAE-PTComp_1331_tm_fe_25,TAE-PTComp,0.149814368339589,94.009935483871,2914.308,31,"-0.032258064516129,tm_fe_25,0.612903225806452,H,0.258064516129032,C,0.032258064516129,N,0.032258064516129,P,0.032258064516129,S_cation,0.032258064516129,Fe",tm_fe
TAE-PTComp_1332_tm_fe_26,TAE-PTComp,0.17617311701159,110.5503,2211.006,20,"-0.05,tm_fe_26,0.45,H,0.4,C,0.05,N,0.05,P_cation,0.05,Fe",tm_fe
TAE-PTComp_1333_tm_co_1,TAE-PTComp,0.175600426111499,110.190931034483,3195.537,29,"-0.0344827586206897,tm_co_1,0.413793103448276,H,0.0344827586206897,C_anion,0.379310344827586,C,0.137931034482759,N,0.0344827586206897,Co",tm_co
