Reaction,Dataset,Reference,Reference_in_kcal_mol,Stoichiometry,Reference_Method,Source
atmospheric218_161_1msa1eda-conf23,atmospheric218,-0.03163176391820347,-19.84923154,"1,1msa1eda-conf23,-1,1msa-1msa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_162_1msa1eda-conf22,atmospheric218,-0.02883963855210291,-18.09714642,"1,1msa1eda-conf22,-1,1msa-1msa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_163_1msa1eda-conf21,atmospheric218,-0.03739958794254011,-23.46859576,"1,1msa1eda-conf21,-1,1msa-1msa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_164_1msa1eda-conf16,atmospheric218,-0.03487222216472793,-21.88264979,"1,1msa1eda-conf16,-1,1msa-1msa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_165_1msa1eda-conf14,atmospheric218,-0.03164971916902549,-19.86049863,"1,1msa1eda-conf14,-1,1msa-1msa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_166_1msa1dma-conf4,atmospheric218,-0.03301785228172758,-20.71901512,"1,1msa1dma-conf4,-1,1msa-1msa-1,-1,1dma-1dma-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_167_1msa1dma-conf3,atmospheric218,-0.03533276372138168,-22.17164398,"1,1msa1dma-conf3,-1,1msa-1msa-1,-1,1dma-1dma-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_168_1msa1dma-conf1,atmospheric218,-0.03547313525940749,-22.25972845,"1,1msa1dma-conf1,-1,1msa-1msa-1,-1,1dma-1dma-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_169_1msa1a-conf1,atmospheric218,-0.02407707646575028,-15.10859359,"1,1msa1a-conf1,-1,1msa-1msa-1,-1,1a-1am",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_170_1fa1w-1fa1w-7,atmospheric218,-0.006478646251628063,-4.065411902,"1,1fa1w-1fa1w-7,-1,1fa-1fa-1,-1,1w-1w-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_171_1fa1w-1fa1w-5,atmospheric218,-0.005875381353412464,-3.686857463,"1,1fa1w-1fa1w-5,-1,1fa-1fa-1,-1,1w-1w-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_172_1fa1w-1fa1w-4,atmospheric218,-0.008777558415709491,-5.508001065,"1,1fa1w-1fa1w-4,-1,1fa-1fa-1,-1,1w-1w-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_173_1fa1w-1fa1w-31,atmospheric218,-0.002891980876797911,-1.814745399,"1,1fa1w-1fa1w-31,-1,1fa-1fa-1,-1,1w-1w-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_174_1fa1w-1fa1w-30,atmospheric218,-0.0003157458090904878,-0.1981334866,"1,1fa1w-1fa1w-30,-1,1fa-1fa-1,-1,1w-1w-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_175_1fa1w-1fa1w-24,atmospheric218,-0.004017781186115571,-2.521195759,"1,1fa1w-1fa1w-24,-1,1fa-1fa-1,-1,1w-1w-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_176_1fa1w-1fa1w-1,atmospheric218,-0.01663407502426073,-10.43803967,"1,1fa1w-1fa1w-1,-1,1fa-1fa-1,-1,1w-1w-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_177_1fa1tma-conf3,atmospheric218,-0.01366475238131266,-8.57476158,"1,1fa1tma-conf3,-1,1fa-1fa-1,-1,1tma-1tma-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_178_1fa1tma-conf2,atmospheric218,-0.02245365812370695,-14.0898832,"1,1fa1tma-conf2,-1,1fa-1fa-1,-1,1tma-1tma-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_179_1fa1tma-conf1,atmospheric218,-0.02244814341812395,-14.08642267,"1,1fa1tma-conf1,-1,1fa-1fa-1,-1,1tma-1tma-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_180_1fa1ma-1fa1ma-5,atmospheric218,-0.001039039896048544,-0.6520073787,"1,1fa1ma-1fa1ma-5,-1,1fa-1fa-1,-1,1ma-1ma-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_181_1fa1ma-1fa1ma-1,atmospheric218,-0.02054057892790299,-12.88940788,"1,1fa1ma-1fa1ma-1,-1,1fa-1fa-1,-1,1ma-1ma-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_182_1fa1eda-conf9,atmospheric218,-0.01968117023004201,-12.35012078,"1,1fa1eda-conf9,-1,1fa-1fa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_183_1fa1eda-conf89,atmospheric218,-0.002439242397551569,-1.530647714,"1,1fa1eda-conf89,-1,1fa-1fa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_184_1fa1eda-conf87,atmospheric218,0.0002165790070387589,0.1359053788,"1,1fa1eda-conf87,-1,1fa-1fa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_185_1fa1eda-conf84,atmospheric218,0.00002060968301603607,0.01293277135,"1,1fa1eda-conf84,-1,1fa-1fa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_186_1fa1eda-conf82,atmospheric218,0.0006735249339956588,0.4226432771,"1,1fa1eda-conf82,-1,1fa-1fa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_187_1fa1eda-conf80,atmospheric218,0.001441317609029522,0.9044404548,"1,1fa1eda-conf80,-1,1fa-1fa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_188_1fa1eda-conf78,atmospheric218,0.001400145463957809,0.8786045437,"1,1fa1eda-conf78,-1,1fa-1fa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_189_1fa1eda-conf77,atmospheric218,0.001530414619052319,0.9603496727,"1,1fa1eda-conf77,-1,1fa-1fa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_190_1fa1eda-conf75,atmospheric218,-0.0005058663069174312,-0.3174359002,"1,1fa1eda-conf75,-1,1fa-1fa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_191_1fa1eda-conf71,atmospheric218,-0.0006482404660221848,-0.4067770339,"1,1fa1eda-conf71,-1,1fa-1fa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_192_1fa1eda-conf70,atmospheric218,-0.01045223781328991,-6.558878253,"1,1fa1eda-conf70,-1,1fa-1fa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_193_1fa1eda-conf68,atmospheric218,-0.01081098833149701,-6.783997602,"1,1fa1eda-conf68,-1,1fa-1fa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_194_1fa1eda-conf66,atmospheric218,-0.01357152137776909,-8.516258242,"1,1fa1eda-conf66,-1,1fa-1fa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_195_1fa1eda-conf65,atmospheric218,-0.01513860686355909,-9.499619231,"1,1fa1eda-conf65,-1,1fa-1fa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_196_1fa1eda-conf63,atmospheric218,-0.01795691782474494,-11.26813606,"1,1fa1eda-conf63,-1,1fa-1fa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_197_1fa1eda-conf5,atmospheric218,-0.01968372622332385,-12.35172469,"1,1fa1eda-conf5,-1,1fa-1fa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_198_1fa1eda-conf56,atmospheric218,-0.01740724808387770,-10.92321309,"1,1fa1eda-conf56,-1,1fa-1fa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_199_1fa1eda-conf49,atmospheric218,-0.02028814622919911,-12.73100397,"1,1fa1eda-conf49,-1,1fa-1fa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_200_1fa1eda-conf48,atmospheric218,-0.01808117143879023,-11.34610638,"1,1fa1eda-conf48,-1,1fa-1fa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_201_1fa1eda-conf45,atmospheric218,-0.01836461100002642,-11.52396739,"1,1fa1eda-conf45,-1,1fa-1fa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_202_1fa1eda-conf43,atmospheric218,-0.01899269198731103,-11.91809416,"1,1fa1eda-conf43,-1,1fa-1fa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_203_1fa1eda-conf40,atmospheric218,-0.01936083721785901,-12.14910878,"1,1fa1eda-conf40,-1,1fa-1fa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_204_1fa1eda-conf39,atmospheric218,-0.01831933609793444,-11.49555696,"1,1fa1eda-conf39,-1,1fa-1fa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_205_1fa1eda-conf35,atmospheric218,-0.02020132236079243,-12.67652117,"1,1fa1eda-conf35,-1,1fa-1fa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_206_1fa1eda-conf30,atmospheric218,-0.01853411937304152,-11.6303355,"1,1fa1eda-conf30,-1,1fa-1fa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_207_1fa1eda-conf2,atmospheric218,-0.02381011413781074,-14.9410722,"1,1fa1eda-conf2,-1,1fa-1fa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_208_1fa1eda-conf28,atmospheric218,-0.01870134441798076,-11.7352708,"1,1fa1eda-conf28,-1,1fa-1fa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_209_1fa1eda-conf22,atmospheric218,-0.02247481982810962,-14.10316237,"1,1fa1eda-conf22,-1,1fa-1fa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_210_1fa1eda-conf21,atmospheric218,-0.01932760763191350,-12.1282569,"1,1fa1eda-conf21,-1,1fa-1fa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_211_1fa1eda-conf20,atmospheric218,-0.02265640103876803,-14.2171063,"1,1fa1eda-conf20,-1,1fa-1fa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_212_1fa1eda-conf18,atmospheric218,-0.02163274927484995,-13.57475512,"1,1fa1eda-conf18,-1,1fa-1fa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_213_1fa1eda-conf103,atmospheric218,0.003905322504746078,2.450626871,"1,1fa1eda-conf103,-1,1fa-1fa-1,-1,1eda-1eda-6",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_214_1fa1dma-1fa1dma-9,atmospheric218,-0.002140964848388735,-1.343475726,"1,1fa1dma-1fa1dma-9,-1,1fa-1fa-1,-1,1dma-1dma-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_215_1fa1dma-1fa1dma-5,atmospheric218,-0.02228214856975051,-13.98225933,"1,1fa1dma-1fa1dma-5,-1,1fa-1fa-1,-1,1dma-1dma-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_216_1fa1dma-1fa1dma-4,atmospheric218,-0.02134270917581919,-13.39275221,"1,1fa1dma-1fa1dma-4,-1,1fa-1fa-1,-1,1dma-1dma-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_217_1fa1dma-1fa1dma-13,atmospheric218,-0.01328370044842032,-8.335647882,"1,1fa1dma-1fa1dma-13,-1,1fa-1fa-1,-1,1dma-1dma-1",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
atmospheric218_218_1fa1a-1fa1am-1,atmospheric218,-0.01846710891066917,-11.5882858,"1,1fa1a-1fa1am-1,-1,1fa-1fa-1,-1,1a-1am",CCSD(F12*)(T+)/cc-pVTZ-F12 electronic binding energy,ao5c04476_si_001.zip benchmark_data.csv F12_VTZ_FULL; reconstructed as E_cluster - sum(E_monomers)
